	sim_dom1	sim_dom2	prob1	pval1	score1	aligned_cols1	ident_perc1	prob2	pval2	score2	aligned_cols2	ident_perc2	score_norm1	score_norm2
465	SKI	MCM	92.1	2.3e-06	34.88	17	29	90.68	4.1e-06	35.72	17	29	2.051764705882353	2.101176470588235
466	SKI	Roc	82.7	2.6000000000000002e-05	24.27	15	33	83.11	2.7000000000000002e-05	23.02	15	33	1.6179999999999999	1.5346666666666666
467	SKI	AAA_19	92.02	2.3e-06	29.53	16	31	93.48	8.8e-07	30.16	16	31	1.845625	1.885
468	SKI	AAA_18	98.15	7.700000000000001e-13	60.46	23	26	98.18	8.899999999999999e-13	61.3	23	26	2.628695652173913	2.6652173913043478
469	SKI	TIP49	89.13	6.900000000000001e-06	34.55	17	29	82.13	2.6000000000000002e-05	36.66	17	29	2.0323529411764705	2.156470588235294
470	SKI	AAA_11	91.15	3.3e-06	32.03	16	31	91.15	3.1e-06	33.04	16	31	2.001875	2.065
471	SKI	AAA_16	92.91	1.2e-06	32.41	16	31	94.31	3.5e-07	33.38	17	29	2.025625	1.963529411764706
472	AAA_8	IIGP	93.46	2e-06	43.44	28	21	92.73	3e-06	44.31	25	20	1.5514285714285714	1.7724000000000002
473	AAA_8	DNA_pol3_delta2	98.23	7.099999999999999e-12	72.75	25	24	97.88	5.9e-11	75.35	25	24	2.91	3.014
474	AAA_8	Thymidylate_kin	94.96	7.2e-08	45.52	24	21	95.39	3.5e-08	44.17	24	21	1.8966666666666667	1.8404166666666668
475	AAA_8	SRP54	95.09	7.5e-07	40.42	24	33	95.05	3e-07	40.0	24	33	1.6841666666666668	1.6666666666666667
476	AAA_8	Helicase_RecD	96.5	1.4e-08	47.82	21	24	97.28	5.9e-10	49.28	21	24	2.277142857142857	2.3466666666666667
477	AAA_8	AAA_23	93.75	7.8e-07	42.3	28	21	93.36	1.1e-06	42.51	28	21	1.5107142857142857	1.5182142857142857
478	AAA_8	AAA_21	92.63	1.6e-06	41.14	21	24	93.33	1e-06	40.38	21	24	1.9590476190476191	1.922857142857143
479	AAA_8	AAA_25	95.33	4.7e-07	41.42	24	25	96.11	9.1e-08	42.53	24	25	1.7258333333333333	1.7720833333333335
480	AAA_8	AIG1	91.8	2.6e-06	38.83	22	36	92.77	1.4e-06	39.66	22	36	1.765	1.8027272727272725
481	AAA_8	AAA_30	94.76	5e-07	42.81	22	41	96.06	2.5e-08	50.05	22	41	1.945909090909091	2.275
482	AAA_8	PIF1	95.82	1.2e-07	50.06	27	26	95.96	7.599999999999999e-08	51.94	26	27	1.8540740740740742	1.9976923076923077
483	AAA_8	AAA_2	97.76	2.1000000000000002e-10	58.67	34	26	98.17	1.6e-11	59.48	34	26	1.7255882352941176	1.7494117647058822
484	AAA_8	NB-ARC	96.75	3.7e-08	50.78	26	23	97.09	1e-08	51.87	26	23	1.9530769230769232	1.9949999999999999
485	AAA_8	AAA_19	94.23	5.9e-07	38.03	25	24	96.66	1.4e-08	41.28	25	24	1.5212	1.6512
486	AAA_8	TIP49	97.72	8.699999999999999e-10	63.82	27	22	97.44	2.4e-09	68.28	27	22	2.363703703703704	2.528888888888889
487	AAA_8	APS_kinase	95.17	1e-06	38.53	24	21	95.85	1.9e-07	40.41	24	21	1.6054166666666667	1.6837499999999999
488	AAA_8	AAA_16	97.17	5.3e-09	51.28	25	24	97.88	1.5e-10	52.47	25	24	2.0512	2.0987999999999998
489	AAA_2	IIGP	92.7	2e-06	37.04	23	26	89.23	8.1e-06	37.96	23	26	1.6104347826086955	1.6504347826086956
490	AAA_2	ATP-synt_ab	97.74	7.6e-10	49.42	26	23	97.52	2.3e-09	49.28	26	23	1.9007692307692308	1.8953846153846154
491	AAA_2	DNA_pol3_delta2	98.29	5.4000000000000004e-12	62.82	25	36	97.64	2.6000000000000003e-10	65.23	25	36	2.5128	2.6092
492	AAA_2	Thymidylate_kin	95.52	4.3e-08	39.97	20	50	95.15	8.7e-08	38.91	21	48	1.9985	1.8528571428571428
493	AAA_2	SRP54	96.5	1.5e-07	37.76	35	26	96.51	1.6e-07	38.01	35	26	1.0788571428571427	1.0859999999999999
494	AAA_2	G-alpha	92.05	3.7000000000000006e-06	35.16	23	26	89.04	1e-05	36.57	23	26	1.5286956521739128	1.59
495	AAA_2	SRPRB	95.05	2.1e-07	37.56	24	33	94.49	4.2e-07	38.39	24	33	1.5650000000000002	1.5995833333333334
496	AAA_2	AAA_22	98.41	1.3999999999999999e-12	56.63	27	26	98.77	5e-14	57.61	27	26	2.0974074074074074	2.133703703703704
497	AAA_2	AAA_23	94.93	2.8e-07	38.34	24	42	93.46	1.2e-06	38.6	25	40	1.5975000000000001	1.544
498	AAA_2	AAA_21	93.8	6.3e-07	37.08	18	33	92.68	1.5e-06	36.21	18	33	2.06	2.0116666666666667
499	AAA_2	AAA_25	96.87	4.2e-08	40.25	25	32	96.82	4.0999999999999997e-08	40.79	25	32	1.61	1.6316
500	AAA_2	Kinesin	41.94	0.00036	25.48	17	35	24.72	0.001	25.44	17	35	1.4988235294117647	1.4964705882352942
501	AAA_2	Microtub_bd	71.22	0.00011999999999999999	24.53	17	35	67.3	0.00015	25.74	17	35	1.4429411764705884	1.5141176470588233
502	AAA_2	AIG1	93.91	7.6e-07	35.72	22	27	93.05	1.4e-06	36.37	22	27	1.6236363636363635	1.653181818181818
503	AAA_2	ArsA_ATPase	93.51	2.4e-06	35.74	35	23	91.12	7.699999999999999e-06	37.19	36	22	1.0211428571428571	1.0330555555555554
504	AAA_2	6PF2K	96.22	1.7e-08	43.39	25	28	95.67	6.8e-08	42.89	25	28	1.7356	1.7156
505	AAA_2	SNF2_N	59.88	0.00032	25.93	22	23	44.99	0.00066	26.38	22	23	1.1786363636363637	1.199090909090909
506	AAA_2	ResIII	98.26	7.4e-12	54.54	26	31	98.58	6.2e-13	54.21	26	31	2.0976923076923075	2.085
507	AAA_2	ADK	95.18	1.1e-07	38.32	20	35	94.65	2.4e-07	37.41	20	35	1.916	1.8704999999999998
508	AAA_2	Myosin_head	90.17	8.8e-06	37.23	26	27	85.37	2.2e-05	41.35	26	27	1.4319230769230769	1.5903846153846155
509	AAA_2	MutS_V	92.89	1.5e-06	33.14	22	23	93.36	1e-06	34.15	22	23	1.5063636363636363	1.5522727272727272
510	AAA_2	AAA_30	96.63	1.8e-08	43.42	18	28	96.21	5.6e-08	44.29	18	28	2.4122222222222223	2.4605555555555556
511	AAA_2	AAA_33	96.25	1.1000000000000001e-08	40.48	22	41	96.45	6.3e-09	39.67	22	41	1.8399999999999999	1.8031818181818182
512	AAA_2	AAA	98.33	2.9e-12	55.24	22	45	98.6	3e-13	55.17	22	45	2.510909090909091	2.507727272727273
513	AAA_2	PIF1	97.32	1e-09	52.88	27	37	96.86	6.6e-09	53.75	27	37	1.9585185185185185	1.9907407407407407
514	AAA_2	AAA_6	98.43	3.4e-13	65.86	77	23	98.26	1.3000000000000001e-12	66.24	77	23	0.8553246753246753	0.8602597402597402
515	AAA_2	ABC_tran	89.97	9.1e-06	28.06	26	31	86.19	2.8999999999999997e-05	25.09	26	31	1.0792307692307692	0.965
516	AAA_2	Rad51	97.18	4e-09	47.37	26	23	96.94	1.7e-08	46.84	26	23	1.8219230769230768	1.8015384615384618
517	AAA_2	NB-ARC	97.51	7.8e-10	51.42	25	28	97.35	1.6e-09	51.85	25	28	2.0568	2.074
518	AAA_2	Dynamin_N	92.82	1.3e-06	33.75	22	23	92.85	1.2e-06	34.87	21	24	1.5340909090909092	1.6604761904761904
519	AAA_2	Arf	93.93	9.9e-07	33.62	24	33	94.65	4.3e-07	34.85	24	33	1.4008333333333332	1.4520833333333334
520	AAA_2	CLP1_P	95.42	1.2e-07	38.53	32	22	94.82	2.8e-07	39.24	33	21	1.2040625	1.1890909090909092
521	AAA_2	MMR_HSR1	95.41	8.9e-08	35.03	21	24	95.92	2.8999999999999998e-08	35.65	21	24	1.668095238095238	1.6976190476190476
522	AAA_2	Roc	92.65	2.1000000000000002e-06	29.28	21	33	92.14	3.4e-06	26.91	21	33	1.3942857142857144	1.2814285714285714
523	AAA_2	dNK	96.03	1.7e-08	42.69	22	41	95.59	4.9e-08	41.92	22	41	1.9404545454545454	1.9054545454545455
524	AAA_2	AAA_19	97.56	8.3e-10	45.01	26	31	97.83	1.8000000000000002e-10	45.91	26	31	1.731153846153846	1.7657692307692305
525	AAA_2	AAA_18	96.11	1.1000000000000001e-08	42.43	22	41	95.83	2.4e-08	41.69	22	41	1.9286363636363637	1.8949999999999998
526	AAA_2	TIP49	97.32	6.2e-09	50.26	25	36	96.38	1.5e-07	51.35	26	35	2.0103999999999997	1.975
527	AAA_2	AAA_11	95.71	2.4e-07	37.93	22	36	95.31	4.9e-07	37.66	22	36	1.7240909090909091	1.7118181818181817
528	AAA_2	APS_kinase	95.9	6.900000000000001e-08	38.26	26	31	95.93	5.7999999999999997e-08	39.53	26	31	1.4715384615384615	1.5203846153846154
529	AAA_2	AAA_16	97.63	2.1000000000000002e-10	50.24	25	32	97.91	3.8e-11	51.15	25	32	2.0096000000000003	2.046
530	AAA_7	IIGP	93.89	1.3e-06	42.36	25	20	92.95	2.3e-06	44.62	25	20	1.6944	1.7848
531	AAA_7	ATP-synt_ab	97.93	1.8e-11	63.46	30	20	97.92	1.9e-11	63.87	29	21	2.1153333333333335	2.202413793103448
532	AAA_7	Thymidylate_kin	95.43	3.1e-08	45.19	23	22	95.66	1.8999999999999998e-08	45.09	23	22	1.9647826086956521	1.9604347826086959
533	AAA_7	SRP54	95.11	1.5e-07	42.1	26	23	95.73	4.4000000000000004e-08	43.74	26	23	1.6192307692307693	1.6823076923076923
534	AAA_7	Helicase_RecD	97.17	1.1e-09	51.01	23	30	97.6	1.3000000000000002e-10	51.95	23	30	2.2178260869565216	2.258695652173913
535	AAA_7	AAA_22	98.02	1.0000000000000001e-11	58.77	28	25	98.57	1.3e-13	59.69	28	25	2.0989285714285715	2.1317857142857144
536	AAA_7	AAA_23	94.78	2.1e-07	43.17	26	35	94.2	4e-07	44.4	26	35	1.6603846153846153	1.7076923076923076
537	AAA_7	AAA_21	94.02	4.4e-07	42.35	18	33	94.08	4.1e-07	42.27	18	33	2.352777777777778	2.3483333333333336
538	AAA_7	AIG1	93.31	9.6e-07	39.19	22	36	93.76	6.5e-07	41.11	22	36	1.7813636363636363	1.8686363636363637
539	AAA_7	ArsA_ATPase	90.22	6.3e-06	37.45	35	26	88.57	9.3e-06	39.67	36	25	1.07	1.1019444444444444
540	AAA_7	6PF2K	95.92	1.4e-08	48.78	27	26	95.86	2e-08	49.06	27	26	1.8066666666666666	1.8170370370370372
541	AAA_7	AAA_30	95.68	9.8e-08	44.33	22	41	95.5	1.3e-07	45.64	22	41	2.015	2.0745454545454547
542	AAA_7	PIF1	96.83	2.8000000000000003e-09	56.79	28	21	96.51	8.3e-09	57.45	29	21	2.0282142857142857	1.9810344827586208
543	AAA_7	dNK	96.06	1.1000000000000001e-08	48.51	23	22	96.13	9e-09	48.89	23	22	2.1091304347826085	2.1256521739130436
544	AAA_7	AAA_19	96.71	3.3e-09	47.09	27	26	97.33	2e-10	48.82	27	26	1.744074074074074	1.808148148148148
545	AAA_7	APS_kinase	95.56	5.6e-08	42.9	26	31	96.03	1.8e-08	44.95	27	30	1.65	1.664814814814815
546	AAA_7	AAA_16	97.75	3.6e-11	60.0	44	25	98.2	1.6e-12	61.22	46	24	1.3636363636363635	1.3308695652173912
547	AAA_6	IIGP	92.34	2.8e-06	39.94	24	25	91.66	3.5000000000000004e-06	42.52	25	24	1.6641666666666666	1.7008
548	AAA_6	DNA_pol3_delta2	98.53	9.4e-13	72.89	25	24	98.04	3e-11	74.76	25	24	2.9156	2.9904
549	AAA_6	Thymidylate_kin	95.74	2.4e-08	45.24	24	33	95.96	1.4e-08	44.81	24	33	1.885	1.8670833333333334
550	AAA_6	SRP54	95.73	1.7e-07	41.28	24	29	95.92	1.2e-07	40.75	24	29	1.72	1.6979166666666667
551	AAA_6	AAA_23	93.81	5.8e-07	40.44	26	23	93.17	9.3e-07	41.51	25	24	1.5553846153846154	1.6603999999999999
552	AAA_6	AAA_21	93.11	7.6e-07	40.4	18	22	93.41	7.6e-07	39.88	19	21	2.2444444444444445	2.0989473684210527
553	AAA_6	AAA_25	94.17	4.2e-07	39.16	25	28	94.8	2e-07	39.68	25	28	1.5663999999999998	1.5872
554	AAA_6	AIG1	92.59	1.3e-06	38.07	22	27	93.15	8.3e-07	39.71	22	27	1.7304545454545455	1.805
555	AAA_6	TK	97.31	1.4000000000000001e-09	51.28	24	21	97.29	1.6e-09	50.64	24	21	2.1366666666666667	2.11
556	AAA_6	ArsA_ATPase	89.25	1.4000000000000001e-05	35.19	33	27	84.84	3.4e-05	35.5	33	27	1.0663636363636364	1.0757575757575757
557	AAA_6	6PF2K	95.89	1.6e-08	47.87	29	31	95.86	1.2e-08	49.26	30	30	1.6506896551724137	1.642
558	AAA_6	AAA_30	96.57	9.7e-08	43.89	22	23	96.43	1.2e-07	44.9	22	23	1.995	2.040909090909091
559	AAA_6	PIF1	96.95	6.2e-09	54.08	26	31	96.72	1.3e-08	54.9	26	31	2.08	2.1115384615384616
560	AAA_6	Rad51	96.52	5.5e-08	46.19	29	21	95.53	1.9e-07	43.73	30	20	1.5927586206896551	1.4576666666666667
561	AAA_6	NB-ARC	97.08	3.2e-09	53.43	25	24	97.0	4.9e-09	52.07	25	24	2.1372	2.0828
562	AAA_6	CLP1_P	94.76	4.3e-07	39.42	30	23	94.46	5.9e-07	39.74	30	23	1.314	1.3246666666666667
563	AAA_6	dNK	96.3	7.8e-09	48.7	27	33	96.36	6.5e-09	48.62	27	33	1.8037037037037038	1.8007407407407408
564	AAA_6	TIP49	98.22	6.6e-11	66.05	27	30	97.61	1.9e-09	66.75	27	30	2.446296296296296	2.4722222222222223
565	AAA_6	APS_kinase	95.59	2e-07	39.74	24	29	95.96	8.6e-08	40.84	24	29	1.6558333333333335	1.7016666666666669
566	AAA_6	AAA_16	97.32	2.2e-09	50.12	24	25	97.78	2.2000000000000002e-10	50.31	24	25	2.0883333333333334	2.09625
567	AAA_5	Thymidylate_kin	96.17	7.5e-09	42.15	21	24	95.98	1.3e-08	41.95	21	24	2.007142857142857	1.9976190476190478
568	AAA_5	AIG1	94.87	1.9e-07	37.42	23	22	94.39	3.5e-07	38.73	23	22	1.6269565217391304	1.6839130434782608
569	AAA_5	AAA_30	97.12	8.500000000000001e-10	48.14	22	32	96.93	3.3e-09	49.74	22	32	2.188181818181818	2.260909090909091
570	AAA_5	TIP49	97.48	1.7000000000000001e-09	51.53	23	26	96.62	3.4e-08	54.3	23	26	2.2404347826086957	2.360869565217391
571	NB-ARC	IIGP	92.73	2.4e-06	41.36	24	29	90.95	5.2e-06	42.74	24	29	1.7233333333333334	1.7808333333333335
572	NB-ARC	Thymidylate_kin	94.85	8.1e-08	43.54	21	38	95.11	5.7999999999999997e-08	43.09	21	38	2.0733333333333333	2.051904761904762
573	NB-ARC	SRP54	93.99	6.5e-07	39.26	25	24	94.7	2.3e-07	40.56	25	24	1.5704	1.6224
574	NB-ARC	G-alpha	91.58	5e-06	38.86	24	21	90.34	7.2000000000000005e-06	40.94	25	20	1.6191666666666666	1.6376
575	NB-ARC	SRPRB	94.08	6.5e-07	39.56	23	22	94.13	5.8e-07	40.88	23	22	1.7200000000000002	1.7773913043478262
576	NB-ARC	GTP_EFTU	90.82	5.5e-06	37.42	24	21	89.04	9.2e-06	38.92	25	20	1.5591666666666668	1.5568
577	NB-ARC	AAA_23	93.95	6.3e-07	41.08	24	21	93.09	1.2e-06	41.99	24	21	1.7116666666666667	1.7495833333333335
578	NB-ARC	AAA_25	96.57	2.2000000000000002e-08	46.71	25	24	96.53	2.2999999999999998e-08	45.53	25	24	1.8684	1.8212000000000002
579	NB-ARC	Kinesin	48.84	0.00059	27.35	22	23	41.07	0.0008	28.58	22	23	1.2431818181818182	1.299090909090909
580	NB-ARC	Microtub_bd	73.87	0.00018	26.53	21	24	77.2	0.00011	28.73	21	24	1.2633333333333334	1.368095238095238
581	NB-ARC	AIG1	92.54	2e-06	37.95	22	23	92.79	1.6e-06	39.35	22	23	1.725	1.7886363636363638
582	NB-ARC	TK	96.31	1.8999999999999998e-08	46.49	25	20	95.24	1e-07	42.92	25	20	1.8596000000000001	1.7168
583	NB-ARC	ArsA_ATPase	90.14	1.6e-05	35.59	25	32	87.18	3.1e-05	36.81	25	32	1.4236000000000002	1.4724000000000002
584	NB-ARC	6PF2K	95.79	3.3e-08	47.31	27	26	95.5	6.5e-08	46.68	28	25	1.7522222222222223	1.667142857142857
585	NB-ARC	SNF2_N	40.65	0.00074	27.08	22	23	33.93	0.001	27.89	22	23	1.2309090909090907	1.2677272727272728
586	NB-ARC	ADK	94.19	1.9e-07	41.79	20	35	94.37	1.6e-07	41.57	20	35	2.0895	2.0785
587	NB-ARC	MutS_V	91.47	2.4e-06	36.2	21	24	93.54	6.3e-07	38.18	22	23	1.723809523809524	1.7354545454545454
588	NB-ARC	AAA_30	94.09	1.1e-06	39.28	18	22	93.68	1.5e-06	40.13	18	22	2.1822222222222223	2.229444444444445
589	NB-ARC	AAA_33	95.92	1.7e-08	44.63	23	22	96.5	3e-09	44.27	23	22	1.9404347826086958	1.9247826086956523
590	NB-ARC	AAA	97.25	8.3e-10	50.08	22	36	97.84	3.7e-11	50.5	22	36	2.2763636363636364	2.2954545454545454
591	NB-ARC	PIF1	94.73	3.3e-07	45.71	27	22	94.17	6.5e-07	46.43	27	22	1.692962962962963	1.7196296296296296
592	NB-ARC	ABC_tran	85.15	2.8000000000000003e-05	29.1	25	24	82.08	5.6999999999999996e-05	26.11	26	23	1.1640000000000001	1.0042307692307693
593	NB-ARC	Arf	92.73	2.8999999999999998e-06	35.45	25	36	94.62	5.6e-07	37.37	25	36	1.4180000000000001	1.4948
594	NB-ARC	CLP1_P	92.35	2.8999999999999998e-06	35.97	31	26	91.97	3.3e-06	36.79	31	26	1.1603225806451614	1.186774193548387
595	NB-ARC	MMR_HSR1	95.04	1.7e-07	37.81	21	24	96.12	1.8e-08	39.34	21	24	1.8004761904761906	1.8733333333333335
596	NB-ARC	MCM	94.92	4e-07	44.34	24	25	94.36	7.8e-07	44.12	24	25	1.8475000000000001	1.8383333333333332
597	NB-ARC	Roc	91.42	4.1e-06	31.47	21	29	92.83	2.3e-06	29.95	21	29	1.4985714285714284	1.4261904761904762
598	NB-ARC	dNK	95.39	4.4000000000000004e-08	45.88	22	36	95.4	4.3e-08	45.76	22	36	2.0854545454545454	2.08
599	NB-ARC	AAA_19	96.18	1.4e-07	39.53	26	23	96.84	1.8999999999999998e-08	40.55	27	22	1.5203846153846154	1.5018518518518518
600	NB-ARC	AAA_18	95.66	2.7e-08	45.71	22	23	95.81	2e-08	45.57	22	23	2.0777272727272726	2.0713636363636363
601	NB-ARC	AAA_11	92.69	1.6e-06	38.29	22	27	92.93	1.4e-06	38.59	22	27	1.7404545454545455	1.7540909090909091
602	NB-ARC	APS_kinase	94.8	2.8e-07	39.85	25	28	95.34	9e-08	41.85	25	28	1.594	1.6740000000000002
603	Arf	ATP-synt_ab	94.88	2.6e-07	37.3	27	22	93.38	1.2e-06	36.07	27	22	1.3814814814814813	1.335925925925926
604	Arf	DNA_pol3_delta2	95.02	2.2e-07	40.39	24	25	89.75	7.499999999999999e-06	38.61	24	25	1.6829166666666666	1.60875
605	Arf	Thymidylate_kin	95.17	6.6e-08	38.84	19	42	93.98	3.3e-07	36.42	19	42	2.0442105263157897	1.916842105263158
606	Arf	SRP54	97.74	3.7e-11	53.98	23	35	97.35	3.8e-10	50.59	23	35	2.34695652173913	2.1995652173913043
607	Arf	Helicase_RecD	91.44	2.3e-06	30.82	20	25	90.94	3e-06	29.87	20	25	1.541	1.4935
608	Arf	AAA_21	95.04	1.3e-07	40.16	18	28	94.02	4.7e-07	38.99	18	28	2.231111111111111	2.1661111111111113
609	Arf	AAA_25	94.04	6.4e-07	34.57	25	36	93.01	1.6e-06	33.59	25	36	1.3828	1.3436000000000001
610	Arf	TK	94.75	2.7e-07	35.96	23	35	93.06	1.5e-06	34.23	23	35	1.5634782608695652	1.4882608695652173
611	Arf	ArsA_ATPase	73.8	0.00011	27.38	19	32	49.95	0.0005200000000000001	26.65	19	32	1.4410526315789474	1.4026315789473685
612	Arf	6PF2K	96.05	2.5e-08	42.34	26	27	94.75	3.1e-07	39.75	26	27	1.6284615384615386	1.5288461538461537
613	Arf	AAA_30	93.71	1.2e-06	34.59	18	22	91.26	5e-06	34.31	18	22	1.9216666666666669	1.9061111111111113
614	Arf	PIF1	92.29	2.7000000000000004e-06	35.65	25	24	86.0	2e-05	34.3	25	24	1.426	1.3719999999999999
615	Arf	Rad51	93.12	1.4e-06	34.98	25	28	90.05	6.5000000000000004e-06	33.71	24	29	1.3991999999999998	1.4045833333333333
616	Arf	CLP1_P	90.93	3.3e-06	31.62	17	41	83.68	2.1e-05	29.96	17	41	1.86	1.7623529411764707
617	Arf	MCM	94.83	2.5e-07	39.94	24	21	92.24	2.6e-06	37.75	24	21	1.6641666666666666	1.5729166666666667
618	Arf	dNK	96.01	1.5e-08	42.7	21	43	95.07	1.1e-07	40.43	21	43	2.0333333333333337	1.9252380952380952
619	Arf	AAA_19	93.99	9.2e-07	31.51	25	28	93.92	1.1e-06	30.48	25	28	1.2604	1.2192
620	Arf	APS_kinase	94.96	2.6e-07	35.42	23	30	94.13	7.2e-07	34.62	23	30	1.54	1.5052173913043476
621	Arf	AAA_16	95.6	8.6e-08	38.05	24	29	95.57	1e-07	36.63	24	29	1.5854166666666665	1.52625
622	CLP1_P	IIGP	75.42	5.6000000000000006e-05	32.45	16	38	70.37	8.6e-05	32.77	16	38	2.028125	2.048125
623	CLP1_P	DNA_pol3_delta2	91.89	2.2e-06	39.63	19	26	86.48	1.2e-05	39.02	20	25	2.0857894736842106	1.951
624	CLP1_P	Thymidylate_kin	95.81	4.9e-08	43.41	24	38	95.92	4.3e-08	41.18	24	38	1.8087499999999999	1.7158333333333333
625	CLP1_P	SRP54	97.86	1.1000000000000001e-10	57.23	34	24	98.09	1.1e-11	58.4	34	24	1.683235294117647	1.7176470588235293
626	CLP1_P	G-alpha	75.66	6.7e-05	31.53	18	28	75.18	6.6e-05	32.81	18	28	1.7516666666666667	1.8227777777777778
627	CLP1_P	SRPRB	86.17	1.2e-05	32.16	17	35	88.74	6e-06	33.54	17	35	1.8917647058823528	1.9729411764705882
628	CLP1_P	GTP_EFTU	91.27	4.7e-05	31.52	28	29	89.6	7.099999999999999e-05	31.65	23	30	1.1257142857142857	1.376086956521739
629	CLP1_P	AAA_23	92.08	1.9e-06	37.67	19	26	91.62	2.4e-06	38.15	20	25	1.9826315789473685	1.9075
630	CLP1_P	AAA_21	88.94	6.5000000000000004e-06	35.01	16	25	90.34	4.2000000000000004e-06	34.66	15	27	2.188125	2.3106666666666666
631	CLP1_P	AAA_25	95.51	9.8e-08	42.13	31	29	95.94	4e-08	41.69	31	29	1.3590322580645162	1.3448387096774193
632	CLP1_P	AIG1	83.99	1.9e-05	31.8	17	24	86.55	1.2e-05	32.65	17	24	1.8705882352941177	1.9205882352941175
633	CLP1_P	TK	95.59	1e-07	41.9	33	33	95.85	6.2e-08	41.63	33	33	1.2696969696969695	1.2615151515151517
634	CLP1_P	ArsA_ATPase	98.49	2.5e-13	77.16	35	31	98.37	9.9e-13	78.77	35	31	2.2045714285714286	2.2505714285714284
635	CLP1_P	6PF2K	95.11	1.5e-07	42.75	32	22	94.93	2e-07	41.45	33	21	1.3359375	1.256060606060606
636	CLP1_P	ADK	94.35	3e-07	39.69	18	44	94.59	2.4e-07	38.33	18	44	2.205	2.1294444444444443
637	CLP1_P	Myosin_head	60.78	0.00026000000000000003	31.93	21	29	66.82	0.00014	36.98	21	29	1.5204761904761905	1.7609523809523808
638	CLP1_P	MutS_V	88.03	1.1e-05	31.84	19	26	91.79	2.8e-06	32.89	19	26	1.6757894736842105	1.7310526315789474
639	CLP1_P	AAA_30	88.93	8.3e-06	33.8	18	28	88.23	8.900000000000001e-06	33.85	18	28	1.8777777777777775	1.8805555555555555
640	CLP1_P	AAA_33	94.6	1.8e-07	38.39	27	26	95.59	3.7999999999999996e-08	37.25	27	26	1.421851851851852	1.3796296296296295
641	CLP1_P	AAA	94.52	4.6e-07	35.68	28	29	95.86	5.4e-08	35.16	18	33	1.2742857142857142	1.9533333333333331
642	CLP1_P	CTP_synth_N	93.14	3.9e-05	32.26	32	28	89.63	0.00016999999999999999	31.51	32	28	1.008125	0.9846875
643	CLP1_P	PIF1	95.47	6.9e-07	42.36	29	28	93.34	1.4e-06	41.41	29	28	1.4606896551724138	1.4279310344827585
644	CLP1_P	ABC_tran	65.38	0.00014	24.75	27	22	60.59	0.00011999999999999999	23.14	27	22	0.9166666666666666	0.857037037037037
645	CLP1_P	Dynamin_N	84.93	1.4999999999999999e-05	31.38	18	39	88.22	7.2999999999999996e-06	31.89	18	39	1.7433333333333332	1.7716666666666667
646	CLP1_P	MMR_HSR1	91.1	3e-06	31.26	17	24	94.45	2.8e-07	32.58	17	24	1.8388235294117647	1.916470588235294
647	CLP1_P	MCM	90.7	3e-06	38.04	19	21	89.64	4.5e-06	36.99	19	21	2.002105263157895	1.946842105263158
648	CLP1_P	Roc	78.77	4.3e-05	25.87	17	35	85.43	1.8e-05	24.83	17	35	1.521764705882353	1.4605882352941175
649	CLP1_P	dNK	94.77	1.7e-07	41.57	18	44	94.86	1.6e-07	40.25	18	44	2.3094444444444444	2.236111111111111
650	CLP1_P	AAA_19	94.74	5.1e-07	35.92	30	23	95.73	1.1e-07	35.23	28	25	1.1973333333333334	1.2582142857142855
651	CLP1_P	AAA_18	94.9	1.2e-07	41.37	18	28	95.24	7.1e-08	40.42	18	28	2.2983333333333333	2.2455555555555557
652	CLP1_P	TIP49	88.32	1.4000000000000001e-05	36.76	19	21	77.34	5e-05	36.78	19	21	1.934736842105263	1.9357894736842105
653	CLP1_P	APS_kinase	95.8	4.3e-08	42.97	34	32	96.17	1.7e-08	43.0	34	32	1.2638235294117646	1.2647058823529411
654	CLP1_P	AAA_16	94.97	2.5e-07	39.3	32	22	95.93	5e-08	38.42	32	22	1.228125	1.200625
655	UvrD_C_2	AAA_12	98.55	2.3e-14	48.79	47	21	97.66	1.7e-11	51.88	47	21	1.0380851063829788	1.1038297872340426
656	Roc	ATP-synt_ab	93.27	1.5e-06	29.55	21	29	92.31	2.3e-06	31.54	21	29	1.4071428571428573	1.5019047619047619
657	Roc	DNA_pol3_delta2	92.83	1.9e-06	31.72	21	33	86.82	1.4999999999999999e-05	33.76	21	33	1.5104761904761905	1.6076190476190475
658	Roc	Thymidylate_kin	92.83	1e-06	29.24	18	33	92.49	1.2e-06	30.94	18	33	1.6244444444444444	1.718888888888889
659	Roc	SRP54	96.47	1.4e-08	36.87	21	33	96.07	3.9e-08	37.67	21	33	1.7557142857142856	1.793809523809524
660	Roc	Helicase_RecD	84.98	1.9e-05	23.4	19	21	89.16	6.2e-06	25.96	19	21	1.2315789473684209	1.3663157894736842
661	Roc	AAA_22	93.63	1.3e-06	26.57	21	33	94.94	2.8e-07	28.77	21	33	1.2652380952380953	1.3699999999999999
662	Roc	AAA_23	94.41	4.8e-07	32.33	21	43	92.71	1.7e-06	34.8	21	43	1.5395238095238095	1.657142857142857
663	Roc	AAA_21	94.22	5e-07	32.49	18	39	93.51	8.4e-07	34.31	18	39	1.8050000000000002	1.9061111111111113
664	Roc	AAA_25	91.72	4.5e-06	26.83	21	33	91.69	3.9e-06	28.93	21	33	1.2776190476190474	1.3776190476190475
665	Roc	TK	93.18	1.7e-06	28.39	21	24	92.06	3.1e-06	29.87	21	24	1.351904761904762	1.4223809523809525
