	sim_dom1	sim_dom2	prob1	pval1	score1	aligned_cols1	ident_perc1	prob2	pval2	score2	aligned_cols2	ident_perc2
16907	ADP_ribosyl_GH	SUI1	0.25	0.31	9.34	11	18	0.23	0.34	9.38	11	18
16908	ADP_ribosyl_GH	GHMP_kinases_C	0.12	0.49	6.93	1	0	0.05	0.8	6.14	1	0
16909	ADP_ribosyl_GH	Spermine_synt_N	0.04	0.89	4.51	1	0	0.03	0.94	4.81	1	0
16910	ADP_ribosyl_GH	MoeA_C	0.13	0.44	7.04	1	0	0.07	0.71	6.48	1	0
16911	ADP_ribosyl_GH	SRP_SPB	0.19	0.38	9.70	24	8	0.23	0.33	10.22	24	8
16912	ADP_ribosyl_GH	tRNA-synt_1c_C	0.04	0.92	6.77	1	0	0.04	0.87	7.12	1	0
16913	ADP_ribosyl_GH	MoeA_N	0.06	0.75	7.91	1	0	0.06	0.76	7.74	1	0
16914	ADP_ribosyl_GH	Annexin	0.10	0.53	5.85	1	0	0.05	0.85	5.58	1	0
16915	ADP_ribosyl_GH	MM_CoA_mutase	0.04	0.92	8.95	11	0	0.21	0.49	12.45	1	0
16916	ADP_ribosyl_GH	Inos-1-P_synth	0.49	0.13	12.92	8	13	0.46	0.13	12.95	11	9
16917	ADP_ribosyl_GH	ATP-synt_C	0.18	0.35	8.23	1	0	0.10	0.56	7.42	1	0
16918	ADP_ribosyl_GH	ClpB_D2-small	0.06	0.73	5.84	1	0	0.04	0.88	5.72	1	0
16919	ADP_ribosyl_GH	Ceramidase_alk	0.09	0.62	11.61	12	8	0.09	0.59	11.46	4	0
16920	ADP_ribosyl_GH	MGS	0.03	0.97	4.96	1	0	0.04	0.86	6.44	4	0
16921	ADP_ribosyl_GH	PNP_phzG_C	0.10	0.54	6.34	1	0	0.09	0.59	6.72	1	0
16922	ADP_ribosyl_GH	ANATO	0.24	0.26	8.25	1	0	0.10	0.53	7.07	1	0
16923	ADP_ribosyl_GH	MutL_C	0.12	0.52	8.70	15	20	0.13	0.51	8.95	15	20
16924	ADP_ribosyl_GH	Pep_deformylase	0.03	0.94	6.37	7	29	0.04	0.91	6.54	8	25
16925	ADP_ribosyl_GH	POLO_box	0.07	0.67	5.71	1	0	0.10	0.56	7.16	1	0
16926	ADP_ribosyl_GH	Aldolase_II	0.27	0.36	11.08	6	0	0.32	0.31	11.57	13	15
16927	ADP_ribosyl_GH	Cbl_N	0.05	0.85	7.72	14	0	0.17	0.47	10.00	1	0
16928	ADP_ribosyl_GH	TPK_B1_binding	0.04	0.75	5.95	1	0	0.03	0.9	5.41	1	0
16929	ADP_ribosyl_GH	AXH	0.07	0.71	6.60	1	0	0.07	0.7	7.25	9	11
16930	ADP_ribosyl_GH	VPS9	0.28	0.29	9.55	16	13	0.39	0.2	10.71	17	12
16931	ADP_ribosyl_GH	ORC5_C	0.03	0.97	6.63	1	0	0.18	0.49	10.89	17	12
16932	ADP_ribosyl_GH	BTK	0.11	0.5	6.33	1	0	0.10	0.54	6.72	1	0
16933	ADP_ribosyl_GH	VKOR	0.09	0.61	8.32	19	11	0.10	0.6	8.48	18	11
16934	ADP_ribosyl_GH	Pyrophosphatase	0.38	0.1	14.37	16	13	0.17	0.47	10.01	6	0
16935	ADP_ribosyl_GH	zf-CXXC	0.04	0.89	4.97	1	0	0.03	0.93	5.02	1	0
16936	ADP_ribosyl_GH	Ribosomal_L11	0.05	0.81	6.08	3	0	0.04	0.91	5.56	1	0
16937	ADP_ribosyl_GH	NDK	0.08	0.62	7.60	1	0	0.06	0.76	7.21	1	0
16938	ADP_ribosyl_GH	MutS_III	0.11	0.61	9.36	1	0	0.04	0.9	7.10	3	67
16939	ADP_ribosyl_GH	Arg_tRNA_synt_N	0.48	0.19	10.39	9	0	0.76	0.11	11.98	27	7
16940	ADP_ribosyl_GH	Oxidored_q6	0.21	0.32	10.07	10	30	0.08	0.66	7.87	1	0
16941	ADP_ribosyl_GH	Ribosomal_S6e	0.07	0.61	8.97	1	0	0.07	0.66	8.46	1	0
16942	ADP_ribosyl_GH	Gal_Lectin	0.10	0.42	7.78	1	0	0.08	0.47	8.05	1	0
16943	ADP_ribosyl_GH	PAP_central	0.04	0.91	7.50	1	0	0.06	0.8	8.45	1	0
16944	ADP_ribosyl_GH	Ribosomal_S6	0.09	0.61	7.33	1	0	0.07	0.68	7.22	4	25
16945	ADP_ribosyl_GH	Ribosomal_S7	0.04	0.86	7.19	2	0	0.10	0.6	8.89	1	0
16946	ADP_ribosyl_GH	Sec1	0.02	0.99	6.78	1	0	0.04	0.92	7.90	8	13
16947	ADP_ribosyl_GH	Sec7	0.18	0.46	10.15	18	11	0.05	0.81	7.59	1	0
16948	ADP_ribosyl_GH	ribosomal_L24	0.03	0.93	4.69	1	0	0.03	0.94	5.12	9	11
16949	ADP_ribosyl_GH	Coprogen_oxidas	0.10	0.7	10.38	9	22	0.18	0.54	11.16	8	0
16950	ADP_ribosyl_GH	SecY	1.27	0.14	15.52	11	0	1.15	0.15	15.58	10	0
16951	ADP_ribosyl_GH	PROCN	0.21	0.52	12.50	11	9	0.06	0.85	9.40	13	0
16952	ADP_ribosyl_GH	RabGAP-TBC	0.06	0.75	7.48	2	50	0.05	0.81	7.44	2	50
16953	ADP_ribosyl_GH	SRP19	0.06	0.74	8.12	1	0	0.04	0.89	6.67	1	0
16954	ADP_ribosyl_GH	PEPCK_N	0.11	0.6	10.56	9	11	0.11	0.65	9.81	10	0
16955	ADP_ribosyl_GH	Rbsn	0.15	0.39	7.78	4	25	0.10	0.55	7.24	1	0
16956	ADP_ribosyl_GH	Urocanase_C	0.11	0.65	10.07	4	25	0.10	0.67	9.49	1	0
16957	ADP_ribosyl_GH	Isochorismatase	0.04	0.86	6.49	9	22	0.11	0.46	9.56	2	0
16958	ADP_ribosyl_GH	AA_kinase	2.01	0.032	18.69	18	11	1.41	0.048	17.59	18	11
16959	ADP_ribosyl_GH	Peptidase_M24	0.03	0.93	6.12	1	0	0.04	0.9	6.67	1	0
16960	ADP_ribosyl_GH	Na_Ca_ex	0.13	0.5	8.65	12	0	0.05	0.83	6.83	1	0
16961	ADP_ribosyl_GH	VHL	0.07	0.72	6.93	3	33	0.07	0.69	7.25	6	17
16962	ADP_ribosyl_GH	Molybdopterin	0.12	0.6	9.80	4	25	0.13	0.57	10.03	3	33
16963	ADP_ribosyl_GH	RNA_pol	0.02	0.99	7.15	9	22	0.04	0.9	8.22	9	22
16964	ADP_ribosyl_GH	PK_C	0.08	0.66	7.14	5	20	0.06	0.74	7.09	6	17
16965	ADP_ribosyl_GH	TPK_catalytic	0.47	0.22	11.10	12	25	0.45	0.23	11.09	11	27
16966	ADP_ribosyl_GH	MAPEG	0.07	0.71	7.11	1	0	0.06	0.77	7.03	1	0
16967	ADP_ribosyl_GH	Cation_ATPase_C	0.03	0.96	5.33	1	0	0.02	0.98	5.32	1	0
16968	ADP_ribosyl_GH	Nop	0.20	0.45	10.70	18	17	0.16	0.51	10.18	19	21
16969	ADP_ribosyl_GH	Ald_Xan_dh_C2	0.12	0.7	11.21	11	0	0.19	0.54	12.10	11	0
16970	ADP_ribosyl_GH	TspO_MBR	0.07	0.67	7.90	1	0	0.05	0.81	7.11	1	0
16971	ADP_ribosyl_GH	Disintegrin	0.03	0.96	4.58	1	0	0.02	0.98	4.52	1	0
16972	ADP_ribosyl_GH	Cbl_N3	0.60	0.14	12.36	10	0	1.60	0.046	15.06	10	0
16973	ADP_ribosyl_GH	CBS	0.08	0.63	3.81	1	0	0.02	0.99	4.01	1	0
16974	ADP_ribosyl_GH	Aldo_ket_red	0.09	0.66	9.22	2	50	0.07	0.74	8.64	1	0
16975	ADP_ribosyl_GH	Topo_C_assoc	0.05	0.81	6.82	1	0	0.11	0.54	8.35	1	0
16976	ADP_ribosyl_GH	zf-Sec23_Sec24	0.11	0.52	5.76	1	0	0.05	0.8	5.42	1	0
16977	ADP_ribosyl_GH	Topoisom_I_N	0.21	0.49	11.31	9	0	0.48	0.25	13.20	16	13
16978	ADP_ribosyl_GH	Aminotran_4	0.05	0.83	7.26	1	0	0.04	0.87	7.12	6	17
16979	ADP_ribosyl_GH	PRO8NT	0.24	0.37	11.36	14	7	0.12	0.58	9.61	14	14
16980	ADP_ribosyl_GH	Ribosomal_L5_C	0.04	0.87	6.13	1	0	0.04	0.92	5.77	1	0
16981	ADP_ribosyl_GH	Ald_Xan_dh_C	1.03	0.07	13.60	14	14	0.75	0.099	12.93	17	12
16982	ADP_ribosyl_GH	RNA_pol_N	0.09	0.59	7.76	1	0	0.11	0.53	8.12	1	0
16983	ADP_ribosyl_GH	HIN	0.06	0.8	8.76	1	0	0.04	0.79	8.35	6	0
16984	ADP_ribosyl_GH	SUFU_C	0.06	0.83	8.71	7	14	0.08	0.7	9.18	9	44
16985	ADP_ribosyl_GH	Cpn60_TCP1	0.35	0.38	12.69	20	10	0.19	0.52	11.33	20	10
16986	ADP_ribosyl_GH	ATP-synt_DE_N	0.03	0.95	4.66	1	0	0.04	0.86	6.04	6	0
16987	ADP_ribosyl_GH	Evr1_Alr	0.04	0.92	5.15	1	0	0.03	0.93	5.49	1	0
16988	ADP_ribosyl_GH	ASF1_hist_chap	0.04	0.88	7.52	1	0	0.05	0.84	7.53	1	0
16989	ADP_ribosyl_GH	DNA_pol_B_thumb	0.33	0.22	9.42	1	0	0.29	0.26	9.47	1	0
16990	ADP_ribosyl_GH	DcpS	0.04	0.86	6.96	1	0	0.06	0.75	7.59	1	0
16991	ADP_ribosyl_GH	CDP-OH_P_transf	0.05	0.86	4.90	1	0	0.02	0.99	4.15	1	0
16992	ADP_ribosyl_GH	Gcd10p	0.12	0.69	11.48	12	33	0.14	0.59	11.70	12	33
16993	ADP_ribosyl_GH	CN_hydrolase	0.04	0.9	6.89	1	0	0.04	0.87	7.33	1	0
16994	ADP_ribosyl_GH	PRMT5_C	0.03	0.94	5.90	6	17	0.03	0.97	5.34	1	0
16995	ADP_ribosyl_GH	DHHA1	0.05	0.81	6.04	1	0	0.05	0.84	6.55	10	0
16996	ADP_ribosyl_GH	ADK_lid	0.06	0.74	3.96	1	0	0.04	0.87	4.85	1	0
16997	ADP_ribosyl_GH	RNA_pol_Rpb1_2	0.05	0.78	8.09	8	38	0.09	0.56	9.46	8	38
16998	ADP_ribosyl_GH	RNA_pol_Rpb1_3	0.16	0.47	9.48	1	0	0.18	0.44	9.79	1	0
16999	ADP_ribosyl_GH	RNA_pol_Rpb1_1	0.04	0.86	7.99	1	0	0.08	0.72	9.08	1	0
17000	ADP_ribosyl_GH	RNA_pol_Rpb1_4	0.10	0.57	7.83	1	0	0.08	0.63	7.77	1	0
17001	ADP_ribosyl_GH	RNA_pol_Rpb1_5	0.06	0.59	11.47	1	0	0.09	0.45	12.42	1	0
17002	ADP_ribosyl_GH	B12-binding_2	0.14	0.41	7.30	1	0	0.19	0.34	8.48	1	0
17003	ADP_ribosyl_GH	p450	0.37	0.34	12.30	14	21	0.17	0.53	10.75	13	23
17004	ADP_ribosyl_GH	Prenyltransf	0.13	0.54	9.66	4	0	0.18	0.47	10.18	5	0
17005	ADP_ribosyl_GH	TSP_1	0.08	0.63	3.03	1	0	0.01	1	3.13	1	0
17006	ADP_ribosyl_GH	TSP_3	0.19	0.18	9.07	1	0	0.08	0.41	7.74	1	0
17007	ADP_ribosyl_GH	ERAP1_C	0.03	0.98	6.20	3	0	0.03	0.94	6.91	1	0
17008	ADP_ribosyl_GH	FTO_CTD	0.02	0.98	6.64	1	0	0.04	0.93	7.00	1	0
17009	ADP_ribosyl_GH	Sod_Cu	0.05	0.74	7.46	1	0	0.03	0.86	6.68	1	0
17010	ADP_ribosyl_GH	Ribosomal_S10	0.04	0.89	5.51	1	0	0.02	1	3.78	1	0
17011	ADP_ribosyl_GH	G6PD_C	0.18	0.53	11.05	17	18	0.07	0.76	8.93	21	14
17012	ADP_ribosyl_GH	Ribosomal_S16	0.46	0.19	10.18	3	33	0.33	0.25	9.83	3	33
17013	ADP_ribosyl_GH	Ribosomal_S18	0.33	0.24	9.37	1	0	0.27	0.28	9.31	1	0
17014	ADP_ribosyl_GH	Ribosomal_S19	0.55	0.017	16.30	25	12	0.44	0.024	15.97	25	12
17015	ADP_ribosyl_GH	AIRC	0.52	0.12	13.84	1	0	0.39	0.18	12.93	1	0
17016	ADP_ribosyl_GH	CTD_bind	0.10	0.56	6.58	1	0	0.06	0.77	6.17	1	0
17017	ADP_ribosyl_GH	RNB	0.08	0.73	9.16	1	0	0.09	0.7	9.23	1	0
17018	ADP_ribosyl_GH	AIRS_C	0.28	0.24	11.00	1	0	0.17	0.39	9.82	1	0
17019	ADP_ribosyl_GH	zf-CW	0.10	0.54	6.45	1	0	0.05	0.83	5.59	1	0
17020	ADP_ribosyl_GH	OLF	0.05	0.75	9.02	1	0	0.07	0.6	9.79	1	0
17021	ADP_ribosyl_GH	RNase_PH_C	0.22	0.28	8.08	1	0	0.16	0.37	8.11	1	0
17022	ADP_ribosyl_GH	MoCF_biosynth	0.14	0.48	8.89	10	0	0.07	0.69	7.73	5	0
17023	ADP_ribosyl_GH	Ribosomal_L4	0.04	0.87	7.40	1	0	0.04	0.92	6.61	1	0
17024	ADP_ribosyl_GH	Ribosomal_L6	0.11	0.5	7.00	1	0	0.08	0.65	6.86	1	0
17025	ADP_ribosyl_GH	Ribosomal_L1	0.15	0.5	9.83	18	17	0.14	0.52	9.66	18	17
17026	ADP_ribosyl_GH	Ribosomal_L16	0.07	0.72	7.88	1	0	0.05	0.84	7.00	1	0
17027	ADP_ribosyl_GH	Thymidylat_synt	0.07	0.77	8.91	1	0	0.08	0.71	9.02	1	0
17028	ADP_ribosyl_GH	Ribosomal_S8	0.06	0.74	7.57	15	13	0.06	0.75	7.51	14	14
17029	ADP_ribosyl_GH	Hormone_recep	0.04	0.86	6.56	1	0	0.04	0.89	6.82	2	0
17030	ADP_ribosyl_GH	Ribosomal_L9_N	0.11	0.49	7.34	1	0	0.07	0.72	6.45	1	0
17031	ADP_ribosyl_GH	Frataxin_Cyay	0.04	0.88	6.29	1	0	0.05	0.83	6.72	1	0
17032	ADP_ribosyl_GH	Nucleos_tra2_C	0.48	0.18	14.00	24	8	0.33	0.25	12.94	15	13
17033	ADP_ribosyl_GH	Ribosomal_L14	0.06	0.59	8.71	1	0	0.04	0.84	6.94	1	0
17034	ADP_ribosyl_GH	Ribosomal_L17	0.12	0.53	8.62	1	0	0.18	0.41	9.46	1	0
17035	ADP_ribosyl_GH	Ribosomal_L10	0.32	0.23	10.22	7	29	0.28	0.26	10.13	6	33
17036	ADP_ribosyl_GH	Ribosomal_L13	0.24	0.38	10.36	13	23	0.29	0.33	10.72	13	23
17037	ADP_ribosyl_GH	Acyl-CoA_dh_M	0.05	0.86	4.98	1	0	0.02	0.98	4.52	1	0
17038	ADP_ribosyl_GH	OAS1_C	0.05	0.84	7.60	1	0	0.06	0.78	7.95	1	0
17039	ADP_ribosyl_GH	FAD_binding_7	0.03	0.93	6.75	5	20	0.08	0.7	8.57	20	10
17040	ADP_ribosyl_GH	Orn_DAP_Arg_deC	0.18	0.51	10.81	1	0	0.17	0.53	10.62	1	0
17041	ADP_ribosyl_GH	PGM_PMM_I	0.23	0.35	9.77	1	0	0.08	0.65	7.95	15	0
17042	ADP_ribosyl_GH	14-3-3	0.16	0.51	10.36	1	0	0.11	0.62	9.45	17	6
17043	ADP_ribosyl_GH	Flavokinase	0.11	0.55	8.37	7	14	0.10	0.57	8.44	6	17
17044	ADP_ribosyl_GH	Biopterin_H	0.19	0.33	13.45	34	15	0.15	0.36	12.91	34	15
17045	ADP_ribosyl_GH	PGM_PMM_III	0.69	0.16	11.37	7	14	1.23	0.1	12.51	11	9
17046	ADP_ribosyl_GH	Carb_anhydrase	0.02	0.98	5.68	8	0	0.03	0.96	6.14	8	0
17047	ADP_ribosyl_GH	RPE65	0.03	0.95	8.12	1	0	0.04	0.92	8.06	1	0
17048	ADP_ribosyl_GH	GMP_PDE_delta	0.02	1	5.28	1	0	0.03	0.96	6.20	16	19
17049	ADP_ribosyl_GH	SRF-TF	0.21	0.29	7.94	11	27	0.16	0.37	7.94	4	25
17050	ADP_ribosyl_GH	Citrate_synt	0.58	0.21	14.62	14	21	0.73	0.15	15.61	16	25
17051	ADP_ribosyl_GH	THUMP	0.51	0.16	11.81	21	19	0.33	0.25	10.78	21	19
17052	ADP_ribosyl_GH	ATP-gua_PtransN	0.31	0.094	12.14	1	0	0.09	0.61	7.63	6	17
17053	ADP_ribosyl_GH	Neil1-DNA_bind	0.09	0.57	7.27	2	50	0.08	0.62	7.09	2	50
17054	ADP_ribosyl_GH	PGK	0.12	0.66	10.81	7	14	0.10	0.7	10.06	1	0
17055	AIRS	Fic	0.22	0.27	7.75	1	0	0.17	0.34	7.33	1	0
17056	AIRS	MutS_I	0.12	0.49	6.82	1	0	0.07	0.72	5.60	1	0
17057	AIRS	ProRS-C_1	0.04	0.87	4.24	1	0	0.04	0.9	4.13	1	0
17058	AIRS	Aconitase	1.39	0.1	14.68	18	11	0.68	0.19	13.07	18	11
17059	AIRS	PTPA	0.45	0.25	11.51	26	15	0.43	0.25	11.37	27	15
17060	AIRS	Glyco_transf_29	0.06	0.74	7.19	8	25	0.08	0.62	7.52	8	25
17061	AIRS	PAH	0.28	0.21	7.17	1	0	0.18	0.34	6.58	1	0
17062	AIRS	Bromodomain	0.11	0.51	5.68	1	0	0.09	0.59	5.63	1	0
17063	AIRS	zf-CDGSH	0.07	0.7	5.13	1	0	0.11	0.51	6.08	1	0
17064	AIRS	DNA_binding_1	0.17	0.35	7.41	1	0	0.16	0.37	7.33	1	0
17065	AIRS	zf-B_box	0.16	0.25	4.26	1	0	0.03	0.91	3.18	1	0
17066	AIRS	Topoisom_bac	0.05	0.84	7.65	1	0	0.13	0.52	9.31	4	25
17067	AIRS	Peptidase_M13_N	0.12	0.58	9.47	5	0	0.11	0.57	9.01	5	0
17068	AIRS	Ribosomal_L28	0.09	0.55	5.96	1	0	0.17	0.31	7.45	1	0
17069	AIRS	Ribosomal_L26	0.12	0.47	7.66	7	29	0.09	0.57	6.91	4	50
17070	AIRS	Ribosomal_L27	0.78	0.071	11.49	16	31	0.33	0.18	9.73	13	23
17071	AIRS	Ribosomal_L20	2.49	0.042	13.00	15	20	1.70	0.061	12.55	14	21
17072	AIRS	Ribosomal_L22	0.13	0.45	7.37	13	8	0.12	0.47	7.18	4	25
17073	AIRS	Ribosomal_L23	0.08	0.65	6.07	3	33	0.14	0.41	7.35	1	0
17074	AIRS	SAD_SRA	0.06	0.77	5.92	7	43	0.06	0.77	5.72	5	40
17075	AIRS	Ribosomal_L11_N	0.55	0.12	8.89	14	0	0.51	0.14	8.92	14	0
17076	AIRS	DUF1241	0.75	0.15	11.57	16	6	0.39	0.24	10.46	1	0
17077	AIRS	S-AdoMet_synt_N	0.32	0.23	9.24	16	19	0.10	0.56	6.88	11	27
17078	AIRS	TGT	0.21	0.36	9.47	13	15	0.19	0.37	9.12	13	15
17079	AIRS	THAP	0.31	0.19	7.93	4	50	0.13	0.45	6.32	1	0
17080	AIRS	PGM_PMM_IV	0.13	0.44	6.31	1	0	0.10	0.55	5.93	1	0
17081	AIRS	SLBP_RNA_bind	0.02	0.98	3.83	1	0	0.02	0.98	3.49	1	0
17082	AIRS	Dak2	0.22	0.33	9.18	12	17	0.25	0.3	9.25	16	19
17083	AIRS	PGM_PMM_II	0.85	0.094	9.90	6	33	0.70	0.11	9.58	6	33
17084	AIRS	Lipoxygenase	0.06	0.81	9.12	1	0	0.10	0.65	9.54	10	20
17085	AIRS	zf-TAZ	0.12	0.47	6.32	8	13	0.09	0.58	5.85	8	13
17086	AIRS	Spin-Ssty	0.03	0.97	3.99	1	0	0.03	0.95	3.96	1	0
17087	AIRS	Amidase	0.92	0.14	12.59	13	15	0.76	0.16	12.12	14	14
17088	AIRS	PBP	0.05	0.84	5.49	2	50	0.07	0.71	6.05	1	0
17089	AIRS	Ribosomal_L21p	0.13	0.44	7.48	6	0	0.11	0.49	7.06	1	0
17090	AIRS	E1-E2_ATPase	0.07	0.67	6.50	1	0	0.05	0.8	5.60	1	0
17091	AIRS	Mob1_phocein	0.11	0.53	8.25	1	0	0.25	0.24	10.34	21	14
17092	AIRS	Serpin	0.12	0.54	8.90	1	0	0.13	0.5	8.82	2	50
17093	AIRS	HSP90	0.03	0.97	6.53	1	0	0.04	0.9	6.62	1	0
17094	AIRS	Dynein_light	0.61	0.12	9.43	12	0	0.33	0.2	8.51	10	0
17095	AIRS	RecQ_Zn_bind	0.19	0.31	6.10	5	20	0.07	0.72	4.68	2	50
17096	AIRS	Focal_AT	0.15	0.43	8.63	13	23	0.13	0.46	8.23	11	27
17097	AIRS	DnaJ_C	0.09	0.61	7.48	1	0	0.05	0.79	6.03	1	0
17098	AIRS	Cyt-b5	0.06	0.74	4.50	1	0	0.05	0.82	4.47	1	0
17099	AIRS	OHCU_decarbox	0.77	0.13	11.24	19	16	1.38	0.087	12.33	20	15
17100	AIRS	Flavoprotein	0.08	0.62	7.44	7	14	0.06	0.73	6.45	6	17
17101	AIRS	Thg1	0.81	0.13	11.18	6	17	0.98	0.11	11.60	6	17
17102	AIRS	Somatomedin_B	0.11	0.48	5.08	1	0	0.06	0.72	4.49	1	0
17103	AIRS	eIF-5_eIF-2B	0.23	0.31	8.93	9	22	0.15	0.4	8.19	1	0
17104	AIRS	Ribonuc_red_lgN	0.07	0.7	4.99	1	0	0.05	0.83	4.54	1	0
17105	AIRS	zf-AN1	0.09	0.57	4.38	1	0	0.03	0.97	2.89	1	0
17106	AIRS	zf-C2HC	0.10	0.55	4.65	1	0	0.10	0.55	5.09	1	0
17107	AIRS	Catalase-rel	0.13	0.43	6.57	1	0	0.10	0.56	5.99	1	0
17108	AIRS	SWIB	0.81	0.089	9.35	15	27	0.55	0.12	8.85	16	25
17109	AIRS	Ribosomal_S17_N	0.07	0.35	7.67	1	0	0.07	0.71	5.62	1	0
17110	AIRS	ACPS	0.08	0.62	5.70	9	11	0.04	0.9	4.29	8	0
17111	AIRS	Ribonuclease_T2	0.07	0.7	6.74	1	0	0.08	0.62	6.93	7	0
17112	AIRS	PUB	0.16	0.37	7.14	11	18	0.10	0.53	6.29	12	17
17113	AIRS	Ammonium_transp	0.02	0.99	5.48	1	0	0.02	0.99	4.54	1	0
17114	AIRS	BAH	0.04	0.89	5.17	1	0	0.04	0.92	4.61	1	0
17115	AIRS	ATP-synt	0.22	0.37	9.68	7	43	0.07	0.72	7.00	1	0
17116	AIRS	Cullin_binding	0.14	0.41	7.99	1	0	0.08	0.65	6.43	1	0
17117	AIRS	RNA_pol_Rpb2_7	0.14	0.4	7.06	4	50	0.21	0.29	7.86	1	0
17118	AIRS	RNA_pol_Rpb2_1	0.14	0.51	9.51	9	33	0.06	0.78	7.14	1	0
17119	AIRS	RNA_pol_Rpb2_3	0.09	0.47	6.59	1	0	0.11	0.4	7.01	1	0
17120	AIRS	RNA_pol_Rpb2_2	0.03	0.98	4.08	1	0	0.02	0.99	3.23	1	0
17121	AIRS	Ribosomal_S3_C	0.04	0.87	4.80	1	0	0.04	0.88	4.60	1	0
17122	AIRS	HRM	0.06	0.64	4.64	1	0	0.04	0.79	4.44	1	0
17123	AIRS	Formyl_trans_C	0.12	0.48	6.11	1	0	0.07	0.7	5.29	1	0
17124	AIRS	Formyl_trans_N	0.15	0.41	8.25	1	0	0.09	0.57	7.05	1	0
17125	AIRS	Hemopexin	0.24	0.25	5.35	1	0	0.11	0.52	4.89	1	0
17126	AIRS	Ldl_recept_a	0.08	0.62	1.91	1	0	0.01	1	1.95	1	0
17127	AIRS	RS4NT	0.04	0.9	3.60	1	0	0.04	0.92	3.61	1	0
17128	AIRS	SET	0.05	0.84	3.91	1	0	0.05	0.84	4.49	1	0
17129	AIRS	GMP_synt_C	0.15	0.4	7.54	1	0	0.14	0.42	7.38	1	0
17130	AIRS	IMS	0.54	0.18	10.80	17	6	0.43	0.21	10.35	17	6
17131	AIRS	Pre-SET	0.05	0.81	5.25	1	0	0.06	0.78	5.32	1	0
17132	AIRS	TOPRIM_C	0.04	0.89	5.11	1	0	0.04	0.9	4.69	1	0
17133	AIRS	DAO_C	0.59	0.06	11.53	9	33	0.37	0.099	10.45	8	38
17134	AIRS	Sod_Fe_N	0.11	0.49	6.23	7	29	0.10	0.55	6.05	10	20
17135	AIRS	Sod_Fe_C	0.11	0.52	6.96	1	0	0.12	0.48	7.06	1	0
17136	AIRS	5_nucleotid_C	0.20	0.33	8.80	12	25	0.12	0.46	7.74	12	25
17137	AIRS	S10_plectin	0.45	0.18	9.84	6	33	0.86	0.11	10.97	12	25
17138	AIRS	PX	0.10	0.54	5.88	1	0	0.08	0.62	5.77	1	0
17139	AIRS	M20_dimer	0.72	0.1	9.34	12	17	0.58	0.12	8.98	9	11
17140	AIRS	WW	0.13	0.44	1.60	1	0	0.03	0.86	3.05	1	0
17141	AIRS	NAGLU_C	0.05	0.84	7.30	12	17	0.08	0.66	7.95	13	15
17142	AIRS	Pept_tRNA_hydro	0.09	0.61	7.75	6	0	0.26	0.31	9.59	1	0
17143	AIRS	S-methyl_trans	4.53	0.035	15.83	15	33	1.81	0.086	13.95	15	33
17144	AIRS	MutS_IV	0.17	0.34	6.59	1	0	0.10	0.55	5.80	1	0
17145	AIRS	Methyltransf_1N	0.14	0.42	5.45	1	0	0.09	0.6	5.22	1	0
17146	AIRS	HA2	0.18	0.33	7.34	1	0	0.12	0.46	6.65	1	0
17147	AIRS	PAP_assoc	0.16	0.36	6.13	2	0	0.08	0.65	5.09	1	0
17148	AIRS	Ribosomal_L35p	0.08	0.56	5.91	1	0	0.11	0.46	6.53	1	0
17149	AIRS	PolyA_pol_RNAbd	0.20	0.3	6.43	1	0	0.11	0.5	5.70	1	0
17150	AIRS	PIG-L	2.75	0.04	12.52	13	8	0.31	0.23	8.88	1	0
17151	AIRS	IL8	0.14	0.42	6.29	1	0	0.11	0.51	5.99	1	0
17152	AIRS	ATP-synt_ab_C	0.11	0.52	6.93	1	0	0.11	0.5	7.01	1	0
17153	AIRS	zf-UBR	0.07	0.67	5.20	1	0	0.06	0.7	5.21	1	0
17154	AIRS	SDF	0.14	0.51	9.53	13	8	0.16	0.46	9.44	14	7
17155	AIRS	HBB	0.12	0.47	7.81	12	8	0.28	0.27	9.15	13	31
17156	AIRS	S-AdoMet_synt_C	0.20	0.36	9.10	11	18	0.88	0.12	11.60	16	13
17157	AIRS	PMSR	0.06	0.73	6.68	1	0	0.06	0.74	6.27	1	0
17158	AIRS	TP_methylase	0.11	0.51	7.90	1	0	0.37	0.23	9.89	12	25
17159	AIRS	Peptidase_S8	0.30	0.29	9.96	14	21	0.61	0.17	11.12	16	19
17160	AIRS	S-AdoMet_synt_M	0.08	0.65	6.83	1	0	0.09	0.58	6.97	1	0
17161	AIRS	PARP_reg	0.13	0.43	7.79	5	20	0.08	0.62	6.52	5	20
17162	AIRS	NIF3	0.28	0.36	11.06	24	8	0.28	0.35	10.92	21	10
17163	AIRS	Ribosomal_L32e	2.74	0.034	13.44	12	25	1.95	0.048	13.12	12	25
17164	AIRS	GTP_EFTU_D3	0.12	0.49	6.02	1	0	0.10	0.54	6.02	1	0
17165	AIRS	COX2_TM	0.03	0.98	2.95	1	0	0.02	0.99	2.99	1	0
17166	AIRS	zf-A20	0.08	0.34	5.19	1	0	0.08	0.35	5.73	1	0
17167	AIRS	Pur_DNA_glyco	0.34	0.14	12.02	24	17	0.19	0.26	10.43	23	17
17168	AIRS	Gln-synt_N	0.05	0.82	4.40	1	0	0.03	0.96	3.52	1	0
17169	AIRS	RPAP2_Rtr1	0.05	0.79	5.06	1	0	0.04	0.89	4.36	1	0
