	metabolite_label	peptide_label	rna_label	druglike_label	ion_label	sm_label	dna_label
Lyase_1	1.0	0.0	0.0	1.0	0.0	1.0	0.0
Lyase_aromatic	0.0	0.0	0.0	1.0	0.0	1.0	0.0
LysM	1.0	0.0	0.0	1.0	0.0	1.0	0.0
M20_dimer	1.0	0.0	0.0	1.0	0.0	1.0	0.0
MAPEG	1.0	0.0	0.0	1.0	0.0	1.0	0.0
MATH	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MFS_1_like	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MGS	1.0	0.0	0.0	1.0	0.0	1.0	0.0
MHC_I_3	0.0	0.0	0.0	0.0	0.0	1.0	0.0
MIF	0.0	0.0	0.0	1.0	0.0	1.0	0.0
MMACHC	0.0	0.0	0.0	1.0	0.0	1.0	0.0
MM_CoA_mutase	0.0	0.0	0.0	1.0	0.0	0.0	0.0
MNNL	1.0	0.0	0.0	1.0	0.0	1.0	0.0
MR_MLE_C	0.0	0.0	0.0	1.0	0.0	1.0	0.0
MR_MLE_N	1.0	0.0	0.0	0.0	0.0	0.0	0.0
MTHFR	0.0	0.0	0.0	1.0	0.0	1.0	0.0
Mab-21	1.0	0.0	0.0	1.0	0.0	1.0	1.0
MafB19-deam	1.0	0.0	0.0	1.0	1.0	1.0	0.0
MatE	0.0	0.0	0.0	1.0	0.0	1.0	0.0
MazG	0.0	0.0	0.0	0.0	1.0	0.0	0.0
Med18	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Melibiase_2	1.0	0.0	0.0	1.0	0.0	1.0	0.0
Methyltr_RsmB-F	0.0	0.0	1.0	1.0	0.0	1.0	0.0
Methyltransf_1N	0.0	0.0	0.0	0.0	1.0	0.0	0.0
Methyltransf_24	0.0	0.0	0.0	1.0	1.0	1.0	0.0
Methyltransf_PK	0.0	0.0	0.0	1.0	0.0	1.0	0.0
Mo-co_dimer	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MoCF_biosynth	1.0	0.0	0.0	1.0	1.0	1.0	0.0
Mob1_phocein	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MoeA_C	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MoeA_N	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Molybdopterin	0.0	0.0	0.0	1.0	0.0	1.0	0.0
Mss4	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MutL_C	0.0	0.0	0.0	0.0	1.0	0.0	0.0
MutS_III	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MutS_IV	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MutS_I	0.0	0.0	0.0	0.0	0.0	0.0	1.0
NAD_Gly3P_dh_C	1.0	0.0	0.0	1.0	0.0	1.0	0.0
NAD_binding_5	1.0	0.0	0.0	1.0	0.0	1.0	0.0
NAD_kinase	1.0	0.0	0.0	1.0	0.0	1.0	0.0
NAD_synthase	1.0	0.0	0.0	1.0	1.0	1.0	0.0
NAGLU	0.0	0.0	0.0	0.0	0.0	0.0	0.0
NAGLU_C	0.0	0.0	0.0	0.0	0.0	0.0	0.0
NAGidase	1.0	1.0	0.0	1.0	0.0	1.0	0.0
NAPRTase	1.0	0.0	0.0	1.0	0.0	0.0	0.0
NARP1	0.0	0.0	0.0	1.0	0.0	1.0	0.0
NIF3	0.0	0.0	0.0	0.0	1.0	0.0	0.0
NIF	0.0	0.0	0.0	0.0	1.0	0.0	0.0
NMT	0.0	0.0	0.0	1.0	1.0	1.0	0.0
NMT_C	0.0	0.0	0.0	0.0	0.0	0.0	0.0
NO_synthase	0.0	0.0	0.0	0.0	0.0	0.0	0.0
NT5C	0.0	0.0	0.0	1.0	1.0	1.0	0.0
NTP_transf_3	1.0	0.0	0.0	1.0	0.0	1.0	0.0
NTP_transferase	1.0	0.0	0.0	1.0	0.0	0.0	0.0
NUDIX_4	0.0	0.0	0.0	1.0	1.0	1.0	1.0
Na_sulph_symp	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Neil1-DNA_bind	0.0	0.0	0.0	0.0	0.0	0.0	1.0
NeuB	0.0	0.0	0.0	0.0	1.0	0.0	0.0
NifU_N	0.0	0.0	0.0	0.0	1.0	0.0	0.0
Nitroreductase	0.0	0.0	0.0	1.0	0.0	1.0	0.0
Nuc_deoxyrib_tr	0.0	0.0	0.0	1.0	0.0	1.0	0.0
Nucleos_tra2_C	1.0	0.0	0.0	1.0	0.0	1.0	0.0
O-FucT	0.0	0.0	0.0	1.0	0.0	1.0	0.0
OAS1_C	0.0	0.0	1.0	0.0	0.0	0.0	0.0
OGG_N	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OHCU_decarbox	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OMPdecase	1.0	0.0	0.0	1.0	1.0	1.0	0.0
ORC4_C	1.0	0.0	0.0	1.0	0.0	1.0	0.0
ORC5_C	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OTCace	1.0	0.0	0.0	1.0	0.0	0.0	0.0
OTCace_N	1.0	0.0	0.0	1.0	1.0	1.0	0.0
Orn_Arg_deC_N	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Orn_DAP_Arg_deC	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Oxidored_molyb	0.0	0.0	0.0	1.0	0.0	1.0	0.0
P53	0.0	0.0	0.0	0.0	1.0	0.0	1.0
P5CR_dimer	1.0	0.0	0.0	1.0	0.0	1.0	0.0
PA14	1.0	0.0	0.0	1.0	1.0	1.0	0.0
PAD	0.0	0.0	0.0	0.0	0.0	1.0	0.0
PAD_M	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PAH	0.0	1.0	0.0	0.0	0.0	0.0	0.0
PALP	1.0	1.0	0.0	1.0	0.0	1.0	0.0
PAN_4	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PAPS_reduct	1.0	0.0	0.0	1.0	0.0	1.0	0.0
PAP_assoc	0.0	0.0	0.0	1.0	0.0	1.0	0.0
PAP_central	1.0	0.0	0.0	1.0	0.0	1.0	0.0
PARG_cat	1.0	0.0	0.0	1.0	0.0	1.0	0.0
PARP_reg	0.0	0.0	0.0	1.0	0.0	0.0	0.0
PAS_4	0.0	0.0	0.0	1.0	0.0	1.0	0.0
PAS_8	0.0	0.0	0.0	1.0	0.0	1.0	0.0
PAZ	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PBP	0.0	0.0	0.0	0.0	1.0	1.0	0.0
PC4	0.0	0.0	0.0	0.0	0.0	0.0	1.0
PCNA_C	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PCNA_N	0.0	1.0	0.0	0.0	0.0	0.0	0.0
PDGF	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PEPCK_C	1.0	0.0	0.0	1.0	1.0	1.0	0.0
PEPCK_N	1.0	0.0	0.0	1.0	1.0	1.0	0.0
PGI	1.0	0.0	0.0	1.0	0.0	1.0	0.0
PGK	1.0	0.0	0.0	0.0	0.0	0.0	0.0
PGM_PMM_III	0.0	0.0	0.0	1.0	0.0	1.0	0.0
PGM_PMM_IV	0.0	0.0	0.0	1.0	0.0	1.0	0.0
PGM_PMM_I	0.0	0.0	0.0	1.0	1.0	1.0	0.0
PI3Ka	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PIG-L	0.0	0.0	0.0	1.0	1.0	1.0	0.0
PIP5K	1.0	0.0	0.0	1.0	0.0	1.0	0.0
PK_C	0.0	0.0	0.0	0.0	1.0	0.0	0.0
PMM	0.0	0.0	0.0	1.0	1.0	1.0	0.0
PMSR	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PNP_UDP_1	0.0	0.0	0.0	1.0	0.0	1.0	0.0
PNP_phzG_C	0.0	0.0	0.0	1.0	0.0	1.0	0.0
POLO_box	0.0	0.0	0.0	0.0	0.0	1.0	0.0
POT1	0.0	0.0	0.0	0.0	0.0	0.0	1.0
PP-binding	0.0	0.0	0.0	1.0	0.0	1.0	0.0
PPR	0.0	0.0	1.0	0.0	0.0	0.0	0.0
PPR_1	0.0	0.0	1.0	0.0	0.0	0.0	0.0
PQQ_2	0.0	0.0	0.0	1.0	0.0	1.0	0.0
PRMT5_C	0.0	0.0	0.0	0.0	0.0	1.0	0.0
PRO8NT	0.0	0.0	1.0	0.0	0.0	0.0	0.0
PROCN	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PS-DH	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PTE	0.0	0.0	0.0	1.0	1.0	1.0	0.0
PTPA	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PTPS	0.0	0.0	0.0	0.0	1.0	1.0	0.0
PTR2	0.0	1.0	0.0	0.0	0.0	1.0	0.0
PUA	0.0	0.0	1.0	0.0	0.0	0.0	0.0
PUA_2	0.0	0.0	0.0	0.0	1.0	0.0	0.0
PUB	0.0	1.0	0.0	0.0	0.0	0.0	0.0
PYC_OADA	1.0	0.0	0.0	0.0	0.0	0.0	0.0
ParBc	1.0	0.0	0.0	1.0	0.0	1.0	0.0
Pentaxin	0.0	0.0	0.0	0.0	1.0	1.0	0.0
Pep_deformylase	0.0	1.0	0.0	1.0	1.0	1.0	0.0
Pept_tRNA_hydro	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Peptidase_C12	0.0	0.0	0.0	0.0	1.0	1.0	0.0
Peptidase_C26	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Peptidase_M13	0.0	0.0	0.0	1.0	1.0	1.0	0.0
Peptidase_M13_N	0.0	0.0	0.0	1.0	0.0	1.0	0.0
Peptidase_M16	0.0	1.0	0.0	0.0	1.0	0.0	0.0
Peptidase_M16_C	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Peptidase_M16_M	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Peptidase_M17	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Peptidase_M18	0.0	0.0	0.0	0.0	1.0	0.0	0.0
Peptidase_M19	0.0	0.0	0.0	1.0	1.0	1.0	0.0
Peptidase_M20	1.0	0.0	0.0	1.0	0.0	0.0	0.0
Peptidase_M22	1.0	0.0	0.0	1.0	1.0	1.0	0.0
Peptidase_M23	0.0	0.0	0.0	0.0	1.0	0.0	0.0
Peptidase_M24	1.0	1.0	0.0	1.0	1.0	1.0	0.0
Peptidase_S24	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Peptidase_S41	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Peptidase_S8	0.0	1.0	0.0	1.0	0.0	1.0	0.0
Peptidase_S9	1.0	0.0	0.0	1.0	0.0	1.0	0.0
Peptidase_S9_N	0.0	1.0	0.0	0.0	1.0	0.0	0.0
Peripla_BP_6	1.0	0.0	0.0	1.0	0.0	1.0	0.0
PfkB	1.0	0.0	0.0	1.0	1.0	1.0	0.0
Phos_pyr_kin	0.0	0.0	0.0	0.0	1.0	0.0	0.0
Phosphorylase	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PhyH	1.0	0.0	0.0	0.0	0.0	1.0	0.0
Pirin	0.0	0.0	0.0	0.0	1.0	0.0	0.0
Piwi	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Plasmod_Pvs28	0.0	0.0	0.0	0.0	1.0	0.0	0.0
PolyA_pol_RNAbd	1.0	0.0	1.0	1.0	0.0	1.0	0.0
Polyketide_cyc	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Polysacc_synt_2	1.0	0.0	0.0	1.0	0.0	1.0	0.0
Porphobil_deamC	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Porphobil_deam	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Prenyltransf	0.0	0.0	0.0	1.0	0.0	1.0	0.0
Pribosyltran	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Pribosyltran_N	1.0	0.0	0.0	1.0	0.0	1.0	0.0
ProRS-C_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Pro_dh	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Pro_racemase	0.0	0.0	0.0	1.0	1.0	1.0	0.0
Profilin	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Prok-JAB	0.0	0.0	0.0	0.0	1.0	0.0	0.0
Propep_M14	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Proteasome_A_N	0.0	0.0	0.0	0.0	1.0	0.0	0.0
PseudoU_synth_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PseudoU_synth_2	0.0	0.0	1.0	0.0	0.0	0.0	0.0
Pur_DNA_glyco	0.0	0.0	0.0	0.0	0.0	0.0	1.0
Putative_PNPOx	0.0	0.0	0.0	1.0	0.0	1.0	0.0
Pyr_redox_dim	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Pyridox_oxase_2	0.0	0.0	0.0	1.0	0.0	1.0	0.0
Pyridoxal_deC	0.0	0.0	0.0	1.0	1.0	1.0	0.0
Pyrophosphatase	1.0	0.0	0.0	1.0	0.0	1.0	0.0
QRPTase_C	1.0	0.0	0.0	1.0	0.0	1.0	0.0
RAI1	0.0	0.0	1.0	0.0	1.0	0.0	0.0
RBD	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RF-1	0.0	0.0	1.0	0.0	0.0	0.0	0.0
RHD_DNA_bind	0.0	0.0	0.0	0.0	0.0	0.0	1.0
RIG-I_C-RD	0.0	0.0	1.0	0.0	1.0	0.0	0.0
RIIa	0.0	1.0	0.0	0.0	0.0	0.0	0.0
RNA_helicase	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RNA_ligase	1.0	0.0	0.0	1.0	0.0	1.0	0.0
RNA_pol	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RNA_pol_A_bac	0.0	0.0	0.0	0.0	1.0	0.0	0.0
RNA_pol_L	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RNA_pol_N	0.0	0.0	0.0	0.0	1.0	0.0	0.0
RNA_pol_Rpb1_1	0.0	0.0	0.0	0.0	1.0	0.0	0.0
RNA_pol_Rpb1_2	0.0	0.0	0.0	1.0	0.0	0.0	0.0
RNA_pol_Rpb1_3	0.0	0.0	0.0	1.0	0.0	0.0	0.0
RNA_pol_Rpb1_4	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RNA_pol_Rpb1_5	0.0	1.0	1.0	0.0	0.0	0.0	0.0
RNA_pol_Rpb2_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RNA_pol_Rpb2_3	0.0	0.0	1.0	1.0	0.0	1.0	0.0
RNA_pol_Rpb2_6	0.0	1.0	0.0	0.0	0.0	0.0	0.0
RNA_pol_Rpb2_7	0.0	0.0	0.0	1.0	0.0	0.0	0.0
RNB	0.0	0.0	0.0	0.0	1.0	0.0	0.0
RNase_HII	0.0	0.0	1.0	0.0	0.0	0.0	1.0
RNase_H	0.0	0.0	1.0	0.0	1.0	0.0	1.0
RNase_PH	1.0	0.0	1.0	1.0	1.0	1.0	0.0
RNase_PH_C	1.0	0.0	0.0	1.0	0.0	1.0	0.0
ROK	1.0	0.0	0.0	1.0	0.0	1.0	0.0
RPAP2_Rtr1	0.0	0.0	0.0	0.0	1.0	0.0	0.0
RPE65	0.0	0.0	0.0	1.0	0.0	1.0	0.0
RPOL_N	0.0	0.0	0.0	0.0	0.0	0.0	1.0
RQC	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RRM_7	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RS4NT	0.0	0.0	1.0	0.0	0.0	0.0	0.0
RTC	1.0	0.0	0.0	1.0	0.0	1.0	0.0
RTT107_BRCT_5	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Rad1	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Rad9	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Radical_SAM	1.0	1.0	0.0	1.0	0.0	1.0	0.0
RbsD_FucU	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Rbsn	0.0	0.0	0.0	0.0	1.0	0.0	0.0
RecQ_Zn_bind	0.0	0.0	0.0	0.0	0.0	0.0	1.0
Rep-A_N	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Rep_fac-A_C	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Reprolysin_4	0.0	0.0	0.0	1.0	1.0	1.0	0.0
Rhomboid	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Rib_5-P_isom_A	1.0	0.0	0.0	1.0	0.0	1.0	0.0
Rib_hydrolayse	1.0	0.0	0.0	1.0	0.0	1.0	0.0
Ribonuc_L-PSP	0.0	0.0	0.0	1.0	0.0	1.0	0.0
Ribonuc_red_lgC	1.0	0.0	0.0	1.0	0.0	1.0	0.0
Ribonuc_red_lgN	1.0	0.0	0.0	1.0	0.0	1.0	0.0
Ribonuc_red_sm	0.0	0.0	0.0	1.0	1.0	1.0	0.0
Ribonucleas_3_3	0.0	0.0	1.0	0.0	0.0	0.0	0.0
Ribonuclease_T2	1.0	0.0	0.0	1.0	0.0	1.0	0.0
Ribosomal_L10	0.0	0.0	1.0	0.0	0.0	0.0	0.0
Ribosomal_L11	0.0	0.0	1.0	0.0	0.0	0.0	0.0
Ribosomal_L11_N	0.0	0.0	1.0	0.0	0.0	0.0	0.0
Ribosomal_L13	0.0	0.0	1.0	0.0	0.0	0.0	0.0
Ribosomal_L14	0.0	0.0	1.0	0.0	0.0	0.0	0.0
Ribosomal_L15e	0.0	0.0	1.0	0.0	0.0	0.0	0.0
Ribosomal_L16	0.0	0.0	1.0	0.0	0.0	0.0	0.0
Ribosomal_L17	0.0	0.0	1.0	0.0	0.0	0.0	0.0
Ribosomal_L19	0.0	0.0	1.0	0.0	0.0	0.0	0.0
Ribosomal_L1	0.0	0.0	1.0	0.0	0.0	0.0	0.0
Ribosomal_L20	0.0	0.0	1.0	0.0	0.0	0.0	0.0
Ribosomal_L21e	0.0	0.0	1.0	0.0	0.0	0.0	0.0
Ribosomal_L21p	0.0	0.0	1.0	0.0	0.0	0.0	0.0
Ribosomal_L22	0.0	0.0	1.0	0.0	0.0	0.0	0.0
Ribosomal_L23	0.0	0.0	1.0	0.0	0.0	0.0	0.0
Ribosomal_L26	0.0	0.0	1.0	0.0	0.0	0.0	0.0
Ribosomal_L27A	0.0	0.0	1.0	0.0	0.0	0.0	0.0
Ribosomal_L27	0.0	0.0	1.0	0.0	0.0	0.0	0.0
Ribosomal_L28	0.0	0.0	1.0	0.0	0.0	0.0	0.0
Ribosomal_L29	0.0	0.0	1.0	0.0	0.0	0.0	0.0
Ribosomal_L2	0.0	0.0	1.0	0.0	0.0	0.0	0.0
Ribosomal_L2_C	0.0	0.0	1.0	0.0	0.0	0.0	0.0
Ribosomal_L30	0.0	0.0	1.0	0.0	0.0	0.0	0.0
Ribosomal_L32e	0.0	0.0	1.0	0.0	0.0	0.0	0.0
Ribosomal_L34	0.0	0.0	1.0	0.0	0.0	0.0	0.0
Ribosomal_L35p	0.0	0.0	1.0	0.0	0.0	0.0	0.0
Ribosomal_L36	0.0	0.0	1.0	0.0	1.0	0.0	0.0
Ribosomal_L37e	0.0	0.0	1.0	0.0	0.0	0.0	0.0
Ribosomal_L39	0.0	0.0	1.0	0.0	0.0	0.0	0.0
Ribosomal_L3	0.0	0.0	1.0	0.0	0.0	0.0	0.0
Ribosomal_L4	0.0	0.0	1.0	0.0	0.0	0.0	0.0
Ribosomal_L5	0.0	0.0	1.0	0.0	0.0	0.0	0.0
Ribosomal_L5_C	0.0	0.0	1.0	0.0	0.0	0.0	0.0
Ribosomal_L5e	0.0	0.0	1.0	0.0	0.0	0.0	0.0
Ribosomal_L6	0.0	0.0	1.0	0.0	0.0	0.0	0.0
Ribosomal_L9_N	0.0	0.0	1.0	0.0	0.0	0.0	0.0
Ribosomal_S10	0.0	0.0	1.0	0.0	0.0	0.0	0.0
Ribosomal_S11	0.0	0.0	1.0	0.0	0.0	0.0	0.0
Ribosomal_S13	0.0	0.0	1.0	0.0	0.0	0.0	0.0
Ribosomal_S14	0.0	0.0	1.0	0.0	1.0	0.0	0.0
Ribosomal_S15	0.0	0.0	1.0	0.0	0.0	0.0	0.0
Ribosomal_S16	0.0	0.0	1.0	0.0	0.0	0.0	0.0
Ribosomal_S17_N	0.0	0.0	1.0	0.0	0.0	0.0	0.0
Ribosomal_S18	0.0	0.0	1.0	0.0	0.0	0.0	0.0
Ribosomal_S19	0.0	0.0	1.0	0.0	0.0	0.0	0.0
Ribosomal_S19e	0.0	0.0	1.0	0.0	0.0	0.0	0.0
Ribosomal_S28e	0.0	0.0	1.0	0.0	0.0	0.0	0.0
Ribosomal_S2	0.0	0.0	1.0	0.0	0.0	0.0	0.0
Ribosomal_S30	0.0	0.0	1.0	0.0	0.0	0.0	0.0
Ribosomal_S3_C	0.0	0.0	1.0	0.0	0.0	0.0	0.0
Ribosomal_S4e	0.0	0.0	1.0	0.0	0.0	0.0	0.0
Ribosomal_S5	0.0	0.0	1.0	0.0	0.0	0.0	0.0
Ribosomal_S5_C	0.0	0.0	1.0	0.0	0.0	0.0	0.0
Ribosomal_S6	0.0	0.0	1.0	0.0	0.0	0.0	0.0
Ribosomal_S6e	0.0	0.0	1.0	0.0	0.0	0.0	0.0
Ribosomal_S7	0.0	0.0	1.0	0.0	0.0	0.0	0.0
Ribosomal_S7e	0.0	0.0	1.0	0.0	0.0	0.0	0.0
Ribosomal_S8	0.0	0.0	1.0	0.0	0.0	0.0	0.0
Ribosomal_S9	0.0	0.0	1.0	0.0	0.0	0.0	0.0
Ribul_P_3_epim	0.0	0.0	0.0	0.0	1.0	0.0	0.0
RicinB_lectin_2	0.0	0.0	0.0	0.0	1.0	0.0	0.0
Rieske	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Rieske_2	0.0	0.0	0.0	0.0	0.0	1.0	0.0
RimK	1.0	0.0	0.0	1.0	0.0	1.0	0.0
Rotamase	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Rrp44_CSD1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Rrp44_S1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
S-AdoMet_synt_C	1.0	0.0	0.0	0.0	0.0	0.0	0.0
S-AdoMet_synt_M	0.0	0.0	0.0	0.0	0.0	0.0	0.0
S-AdoMet_synt_N	1.0	0.0	0.0	1.0	1.0	1.0	0.0
S-methyl_trans	0.0	0.0	0.0	0.0	1.0	0.0	0.0
S10_plectin	0.0	0.0	1.0	0.0	0.0	0.0	0.0
SAD_SRA	0.0	0.0	0.0	0.0	0.0	0.0	1.0
SAICAR_synt	1.0	0.0	0.0	1.0	0.0	1.0	0.0
SBF_like	0.0	0.0	0.0	1.0	0.0	1.0	0.0
SDF	1.0	0.0	0.0	1.0	0.0	0.0	0.0
SGL	0.0	0.0	0.0	0.0	1.0	0.0	0.0
SHMT	1.0	0.0	0.0	1.0	0.0	1.0	0.0
SIR2	1.0	0.0	0.0	1.0	0.0	1.0	0.0
SIS	0.0	0.0	0.0	0.0	1.0	1.0	0.0
SLBP_RNA_bind	0.0	0.0	1.0	0.0	0.0	0.0	0.0
SNase	0.0	0.0	0.0	1.0	1.0	1.0	0.0
SQS_PSY	0.0	0.0	0.0	1.0	0.0	1.0	0.0
SRF-TF	0.0	0.0	0.0	0.0	0.0	0.0	1.0
SRP14	0.0	0.0	1.0	0.0	0.0	0.0	0.0
SRP19	0.0	0.0	1.0	0.0	0.0	0.0	0.0
SRP_SPB	0.0	1.0	1.0	0.0	0.0	0.0	0.0
STAT_bind	0.0	0.0	0.0	0.0	0.0	0.0	1.0
STT3	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SUFU_C	0.0	1.0	0.0	0.0	0.0	0.0	0.0
SUI1	0.0	0.0	1.0	0.0	0.0	0.0	0.0
SWIB	0.0	1.0	0.0	1.0	0.0	1.0	0.0
Sacchrp_dh_C	0.0	0.0	0.0	1.0	0.0	1.0	0.0
Sdh_cyt	0.0	0.0	0.0	1.0	0.0	1.0	0.0
Sec1	0.0	1.0	0.0	0.0	0.0	0.0	0.0
SecY	0.0	0.0	1.0	0.0	0.0	0.0	0.0
SelR	0.0	0.0	0.0	0.0	1.0	0.0	0.0
SepSecS	0.0	0.0	1.0	1.0	0.0	1.0	0.0
Seryl_tRNA_N	0.0	0.0	1.0	0.0	0.0	0.0	0.0
Shikimate_DH	1.0	0.0	0.0	1.0	0.0	1.0	0.0
Sigma54_activat	1.0	0.0	0.0	1.0	0.0	1.0	0.0
SnoaL_3	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Sod_Cu	0.0	0.0	0.0	0.0	1.0	0.0	0.0
Sod_Fe_C	0.0	0.0	0.0	0.0	1.0	0.0	0.0
Sod_Fe_N	0.0	0.0	0.0	0.0	1.0	0.0	0.0
Sortilin-Vps10	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Spermine_synt_N	0.0	0.0	0.0	1.0	0.0	1.0	0.0
Spermine_synth	0.0	0.0	0.0	1.0	0.0	1.0	0.0
SpoIIE	0.0	0.0	0.0	0.0	1.0	0.0	0.0
SpoU_methylase	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Ssu72	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Sua5_yciO_yrdC	0.0	0.0	0.0	1.0	0.0	1.0	0.0
Succ_CoA_lig	0.0	0.0	0.0	0.0	1.0	0.0	0.0
Synapsin_C	1.0	0.0	0.0	0.0	0.0	0.0	0.0
TAL_FSA	1.0	0.0	0.0	1.0	0.0	1.0	0.0
TAXi_C	0.0	1.0	0.0	1.0	0.0	0.0	0.0
TAXi_N	0.0	1.0	0.0	1.0	0.0	1.0	0.0
TBP	0.0	0.0	0.0	0.0	0.0	0.0	1.0
TFIIB	0.0	0.0	0.0	0.0	0.0	0.0	1.0
TFR_dimer	1.0	0.0	0.0	0.0	0.0	0.0	0.0
TGT	0.0	0.0	0.0	0.0	0.0	0.0	0.0
THF_DHG_CYH	0.0	0.0	0.0	1.0	0.0	1.0	0.0
THUMP	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TIM	1.0	0.0	0.0	1.0	0.0	1.0	0.0
TOPRIM_C	0.0	0.0	0.0	0.0	1.0	0.0	0.0
TPK_B1_binding	0.0	0.0	0.0	1.0	0.0	1.0	0.0
TPK_catalytic	0.0	0.0	0.0	1.0	1.0	1.0	0.0
TPP_enzyme_C	0.0	0.0	0.0	0.0	0.0	1.0	0.0
TPP_enzyme_N	0.0	0.0	0.0	1.0	1.0	1.0	0.0
TP_methylase	0.0	0.0	0.0	1.0	0.0	1.0	0.0
TatD_DNase	0.0	0.0	0.0	0.0	1.0	0.0	0.0
Tctex-1	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Thg1C	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Thg1	0.0	0.0	0.0	1.0	1.0	1.0	0.0
Thiolase_N	0.0	0.0	0.0	1.0	0.0	1.0	0.0
Thioredoxin_2	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Thymidylat_synt	1.0	0.0	0.0	1.0	0.0	1.0	0.0
Topo_C_assoc	0.0	0.0	0.0	0.0	0.0	0.0	1.0
Topoisom_I	0.0	0.0	0.0	0.0	0.0	0.0	1.0
Topoisom_I_N	0.0	0.0	0.0	0.0	0.0	0.0	1.0
Topoisom_bac	0.0	0.0	0.0	1.0	0.0	1.0	1.0
Toprim	0.0	0.0	0.0	0.0	0.0	0.0	1.0
Transferrin	0.0	0.0	0.0	0.0	1.0	0.0	0.0
Transket_pyr	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Transposase_1	0.0	0.0	0.0	0.0	1.0	0.0	0.0
Transthyretin	1.0	0.0	0.0	1.0	0.0	1.0	0.0
Trehalase	0.0	0.0	0.0	1.0	0.0	1.0	0.0
TrmE_N	0.0	0.0	0.0	1.0	0.0	1.0	0.0
